CodeMRC,MRC,RA,Population2011,Population2012,Population2013,Population2014,Population2015
1,Communauté maritime des Îles-de-la-Madeleine,11,12844,12726,12585,12446,12338
2,Le Rocher-Percé,11,18037,17910,17781,17675,17511
3,La Côte-de-Gaspé,11,18076,18078,17921,17764,17622
4,La Haute-Gaspésie,11,12130,12068,11958,11821,11720
5,Bonaventure,11,18068,18133,17938,17877,17818
6,Avignon,11,15318,15340,15359,15283,15324
7,La Matapédia,1,18653,18532,18401,18181,18032
8,La Matanie,1,21891,21864,21727,21531,21256
9,La Mitis,1,19032,18950,18872,18773,18700
10,Rimouski-Neigette,1,55593,56151,56431,56927,57236
11,Les Basques,1,9155,9034,8955,8917,8807
12,Rivière-du-Loup,1,34664,34738,34938,34883,34877
13,Témiscouata,1,20626,20553,20342,20165,20023
14,Kamouraska,1,21570,21442,21482,21355,21189
15,Charlevoix-Est,3,16337,16348,16270,16178,16027
16,Charlevoix,3,13400,13386,13340,13330,13356
17,L'Islet,12,18609,18561,18465,18349,18271
18,Montmagny,12,23052,23075,23006,22943,22941
19,Bellechasse,12,35627,36171,36612,36977,37173
20,L'Île-d'Orléans,3,6743,6790,6757,6752,6714
21,La Côte-de-Beaupré,3,26408,26784,27158,27515,27789
22,La Jacques-Cartier,3,37494,38838,40204,41292,42404
23,Québec,3,560659,564446,568329,571961,574173
26,La Nouvelle-Beauce,12,35473,35907,36507,36868,37159
27,Robert-Cliche,12,19422,19405,19526,19504,19513
28,Les Etchemins,12,17338,17240,17109,16969,16842
29,Beauce-Sartigan,12,51505,51772,51996,52305,52640
30,Le Granit,5,22305,22200,22180,21998,21964
31,Les Appalaches,12,43342,43164,42906,42799,42728
32,L'Érable,17,23499,23507,23581,23535,23635
33,Lotbinière,12,29922,30441,30905,31215,31626
34,Portneuf,3,49820,50507,51423,52007,52561
35,Mékinac,4,12962,12918,12844,12756,12647
36,Shawinigan,4,50263,50019,49867,49639,49335
38,Bécancour,17,20241,20444,20584,20545,20564
39,Arthabaska,17,69841,70427,70944,71655,71865
40,Les Sources,5,14822,14838,14817,14677,14550
41,Le Haut-Saint-François,5,22194,22396,22407,22443,22417
42,Le Val-Saint-François,5,29838,30001,30151,30256,30395
43,Sherbrooke,5,156759,158449,159917,161649,162657
44,Coaticook,5,18949,18925,18862,18905,18939
45,Memphrémagog,5,48715,49060,49722,50127,50542
46,Brome-Missisquoi,16,55985,56660,57210,57596,58028
47,La Haute-Yamaska,16,85839,86724,87559,88201,88747
48,Acton,16,15486,15525,15550,15533,15611
49,Drummond,17,99674,100619,101513,102416,103217
50,Nicolet-Yamaska,17,22929,22947,23006,22994,22964
